PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34011626","Na(v)1.7 target modulation and efficacy can be measured in nonhuman primate assays","Kraus RL, Zhao F, Pall PS, Zhou D, Vardigan JD, Danziger A, Li Y, Daley C, Ballard JE, Clements MK, Klein RM, Holahan MA, Greshock TJ, Kim RM, Layton ME, Burgey CS, Serra J, Henze DA, Houghton AK.","Sci Transl Med. 2021 May 19;13(594):eaay1050. doi: 10.1126/scitranslmed.aay1050.","Kraus RL","Sci Transl Med","2021","2021/05/20","","","10.1126/scitranslmed.aay1050"
"33787492","Neural network of social interaction observation in marmosets","Cléry JC, Hori Y, Schaeffer DJ, Menon RS, Everling S.","Elife. 2021 Mar 31;10:e65012. doi: 10.7554/eLife.65012.","Cléry JC","Elife","2021","2021/03/31","PMC8024015","","10.7554/eLife.65012"
"33593900","An ecologically motivated image dataset for deep learning yields better models of human vision","Mehrer J, Spoerer CJ, Jones EC, Kriegeskorte N, Kietzmann TC.","Proc Natl Acad Sci U S A. 2021 Feb 23;118(8):e2011417118. doi: 10.1073/pnas.2011417118.","Mehrer J","Proc Natl Acad Sci U S A","2021","2021/02/17","PMC7923360","","10.1073/pnas.2011417118"
"33495547","Long-term effects of intermittent early life stress on primate prefrontal-subcortical functional connectivity","Yuan R, Nechvatal JM, Buckmaster CL, Ayash S, Parker KJ, Schatzberg AF, Lyons DM, Menon V.","Neuropsychopharmacology. 2021 Jun;46(7):1348-1356. doi: 10.1038/s41386-021-00956-0. Epub 2021 Jan 25.","Yuan R","Neuropsychopharmacology","2021","2021/01/26","PMC8134590","","10.1038/s41386-021-00956-0"
"33429427","Perirhinal Cortex is Involved in the Resolution of Learned Approach-Avoidance Conflict Associated with Discrete Objects","Chu S, Margerison M, Thavabalasingam S, O'Neil EB, Zhao YF, Ito R, Lee ACH.","Cereb Cortex. 2021 Mar 31;31(5):2701-2719. doi: 10.1093/cercor/bhaa384.","Chu S","Cereb Cortex","2021","2021/01/11","PMC8023846","","10.1093/cercor/bhaa384"
"33420330","Chimpanzee histology and functional brain imaging show that the paracingulate sulcus is not human-specific","Amiez C, Sallet J, Novek J, Hadj-Bouziane F, Giacometti C, Andersson J, Hopkins WD, Petrides M.","Commun Biol. 2021 Jan 8;4(1):54. doi: 10.1038/s42003-020-01571-3.","Amiez C","Commun Biol","2021","2021/01/09","PMC7794552","","10.1038/s42003-020-01571-3"
"33408410","Activation and disruption of a neural mechanism for novel choice in monkeys","Bongioanni A, Folloni D, Verhagen L, Sallet J, Klein-Flügge MC, Rushworth MFS.","Nature. 2021 Mar;591(7849):270-274. doi: 10.1038/s41586-020-03115-5. Epub 2021 Jan 6.","Bongioanni A","Nature","2021","2021/01/07","PMC7116896","EMS115990","10.1038/s41586-020-03115-5"
"33350445","Individual Variability in Functional Organization of the Human and Monkey Auditory Cortex","Ren J, Xu T, Wang D, Li M, Lin Y, Schoeppe F, Ramirez JSB, Han Y, Luan G, Li L, Liu H, Ahveninen J.","Cereb Cortex. 2021 Mar 31;31(5):2450-2465. doi: 10.1093/cercor/bhaa366.","Ren J","Cereb Cortex","2021","2020/12/22","PMC8023837","","10.1093/cercor/bhaa366"
"33314443","Extended-amygdala intrinsic functional connectivity networks: A population study","Berry SC, Wise RG, Lawrence AD, Lancaster TM.","Hum Brain Mapp. 2021 Apr 15;42(6):1594-1616. doi: 10.1002/hbm.25314. Epub 2020 Dec 12.","Berry SC","Hum Brain Mapp","2021","2020/12/14","PMC7978137","","10.1002/hbm.25314"
"33112698","Whole brain mapping of somatosensory responses in awake marmosets investigated with ultra-high-field fMRI","Cléry JC, Hori Y, Schaeffer DJ, Gati JS, Pruszynski JA, Everling S.","J Neurophysiol. 2020 Dec 1;124(6):1900-1913. doi: 10.1152/jn.00480.2020. Epub 2020 Oct 28.","Cléry JC","J Neurophysiol","2020","2020/10/28","","","10.1152/jn.00480.2020"
