PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34273134","Structure, function and connectivity fingerprints of the frontal eye field versus the inferior frontal junction: A comprehensive comparison","Bedini M, Baldauf D.","Eur J Neurosci. 2021 Jul 17. doi: 10.1111/ejn.15393. Online ahead of print.","Bedini M","Eur J Neurosci","2021","2021/07/17","","","10.1111/ejn.15393"
"33930537","Longitudinal fMRI measures of cortical reactivation and hand use with and without training after sensory loss in primates","Qi HX, Reed JL, Wang F, Gross CL, Liu X, Chen LM, Kaas JH.","Neuroimage. 2021 Aug 1;236:118026. doi: 10.1016/j.neuroimage.2021.118026. Epub 2021 Apr 27.","Qi HX","Neuroimage","2021","2021/04/30","","","10.1016/j.neuroimage.2021.118026"
"33878384","Mapping functional gradients of the striatal circuit using simultaneous microelectric stimulation and ultrahigh-field fMRI in non-human primates","Han MJ, Park CU, Kang S, Kim B, Nikolaidis A, Milham MP, Hong SJ, Kim SG, Baeg E.","Neuroimage. 2021 Aug 1;236:118077. doi: 10.1016/j.neuroimage.2021.118077. Epub 2021 Apr 18.","Han MJ","Neuroimage","2021","2021/04/20","","","10.1016/j.neuroimage.2021.118077"
"33839768","The Brain Circuits and Dynamics of Curiosity-Driven Behavior in Naturally Curious Marmosets","Tian X, Silva AC, Liu C.","Cereb Cortex. 2021 Jul 29;31(9):4220-4232. doi: 10.1093/cercor/bhab080.","Tian X","Cereb Cortex","2021","2021/04/11","","","10.1093/cercor/bhab080"
"33787492","Neural network of social interaction observation in marmosets","Cléry JC, Hori Y, Schaeffer DJ, Menon RS, Everling S.","Elife. 2021 Mar 31;10:e65012. doi: 10.7554/eLife.65012.","Cléry JC","Elife","2021","2021/03/31","PMC8024015","","10.7554/eLife.65012"
"33745141","The mouth matters most: A functional magnetic resonance imaging study of how dogs perceive inanimate objects","Prichard A, Chhibber R, Athanassiades K, Chiu V, Spivak M, Berns GS.","J Comp Neurol. 2021 Aug 1;529(11):2987-2994. doi: 10.1002/cne.25142. Epub 2021 Mar 25.","Prichard A","J Comp Neurol","2021","2021/03/21","","","10.1002/cne.25142"
"33603648","Recent Advances in Neural Circuits for Taste Perception in Hunger","Fu O, Minokoshi Y, Nakajima KI.","Front Neural Circuits. 2021 Feb 2;15:609824. doi: 10.3389/fncir.2021.609824. eCollection 2021.","Fu O","Front Neural Circuits","2021","2021/02/19","PMC7884326","","10.3389/fncir.2021.609824"
"33427167","Developmental outcomes of early adverse care on amygdala functional connectivity in nonhuman primates","Morin EL, Howell BR, Feczko E, Earl E, Pincus M, Reding K, Kovacs-Balint ZA, Meyer JS, Styner M, Fair D, Sanchez MM.","Dev Psychopathol. 2020 Dec;32(5):1579-1596. doi: 10.1017/S0954579420001133.","Morin EL","Dev Psychopathol","2020","2021/01/11","","","10.1017/S0954579420001133"
"33350445","Individual Variability in Functional Organization of the Human and Monkey Auditory Cortex","Ren J, Xu T, Wang D, Li M, Lin Y, Schoeppe F, Ramirez JSB, Han Y, Luan G, Li L, Liu H, Ahveninen J.","Cereb Cortex. 2021 Mar 31;31(5):2450-2465. doi: 10.1093/cercor/bhaa366.","Ren J","Cereb Cortex","2021","2020/12/22","PMC8023837","","10.1093/cercor/bhaa366"
"33112698","Whole brain mapping of somatosensory responses in awake marmosets investigated with ultra-high-field fMRI","Cléry JC, Hori Y, Schaeffer DJ, Gati JS, Pruszynski JA, Everling S.","J Neurophysiol. 2020 Dec 1;124(6):1900-1913. doi: 10.1152/jn.00480.2020. Epub 2020 Oct 28.","Cléry JC","J Neurophysiol","2020","2020/10/28","","","10.1152/jn.00480.2020"
"33020215","Comparative Brain Imaging Reveals Analogous and Divergent Patterns of Species and Face Sensitivity in Humans and Dogs","Bunford N, Hernández-Pérez R, Farkas EB, Cuaya LV, Szabó D, Szabó ÁG, Gácsi M, Miklósi Á, Andics A.","J Neurosci. 2020 Oct 21;40(43):8396-8408. doi: 10.1523/JNEUROSCI.2800-19.2020. Epub 2020 Oct 5.","Bunford N","J Neurosci","2020","2020/10/06","PMC7577605","","10.1523/JNEUROSCI.2800-19.2020"
