PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34293407","A pilot behavioural and neuroimaging investigation on photothrombotic stroke models in rhesus monkeys","Zhang Z, Wang S, Du L, Xu L, Lin Y, Liu K, Zou Y, Bin Li, Ye Q, Mao Y, Chen W, Zhou G, Sun H, Huang H, Li R, Li G, Li L, Wang Q, Long Q, Huang H, Geng X, Liu Y, Liu C, Li B, Zhou Z, Li J, Wang J.","J Neurosci Methods. 2021 Jul 20;362:109291. doi: 10.1016/j.jneumeth.2021.109291. Online ahead of print.","Zhang Z","J Neurosci Methods","2021","2021/07/22","","","10.1016/j.jneumeth.2021.109291"
"34273134","Structure, function and connectivity fingerprints of the frontal eye field versus the inferior frontal junction: A comprehensive comparison","Bedini M, Baldauf D.","Eur J Neurosci. 2021 Jul 17. doi: 10.1111/ejn.15393. Online ahead of print.","Bedini M","Eur J Neurosci","2021","2021/07/17","","","10.1111/ejn.15393"
"34261701","Flexible versus fixed spatial self-ordered response sequencing:Effects of inactivation and neurochemical modulation ofventrolateral prefrontal cortex","Axelsson SFA, Horst NK, Horiguchi N, Roberts AC, Robbins TW.","J Neurosci. 2021 Jul 14:JN-RM-0227-21. doi: 10.1523/JNEUROSCI.0227-21.2021. Online ahead of print.","Axelsson SFA","J Neurosci","2021","2021/07/15","","","10.1523/JNEUROSCI.0227-21.2021"
"34222873","The role of the medial prefrontal cortex in cognition, ageing and dementia","Jobson DD, Hase Y, Clarkson AN, Kalaria RN.","Brain Commun. 2021 Jun 11;3(3):fcab125. doi: 10.1093/braincomms/fcab125. eCollection 2021 Jul.","Jobson DD","Brain Commun","2021","2021/07/05","PMC8249104","","10.1093/braincomms/fcab125"
"34166774","The One-Stop Gyrification Station - Challenges and New Technologies","Hickmott RA, Bosakhar A, Quezada S, Barresi M, Walker DW, Ryan AL, Quigley A, Tolcos M.","Prog Neurobiol. 2021 Jun 21:102111. doi: 10.1016/j.pneurobio.2021.102111. Online ahead of print.","Hickmott RA","Prog Neurobiol","2021","2021/06/24","","","10.1016/j.pneurobio.2021.102111"
"33967711","Functional Connectivity of the Human Paraventricular Thalamic Nucleus: Insights From High Field Functional MRI","Kark SM, Birnie MT, Baram TZ, Yassa MA.","Front Integr Neurosci. 2021 Apr 21;15:662293. doi: 10.3389/fnint.2021.662293. eCollection 2021.","Kark SM","Front Integr Neurosci","2021","2021/05/10","PMC8096909","","10.3389/fnint.2021.662293"
"33935897","Individual Differences in Intertemporal Choice","Keidel K, Rramani Q, Weber B, Murawski C, Ettinger U.","Front Psychol. 2021 Apr 16;12:643670. doi: 10.3389/fpsyg.2021.643670. eCollection 2021.","Keidel K","Front Psychol","2021","2021/05/03","PMC8085593","","10.3389/fpsyg.2021.643670"
"33923703","Structural Changes on MRI Demonstrate Specific Cerebellar Involvement in SLE Patients-A VBM Study","Mårtensson J, Rumetshofer T, Nystedt J, Lätt J, Nilsson P, Bengtsson A, Jönsen A, Sundgren PC.","Brain Sci. 2021 Apr 16;11(4):510. doi: 10.3390/brainsci11040510.","Mårtensson J","Brain Sci","2021","2021/04/30","PMC8072619","","10.3390/brainsci11040510"
"33899252","Does sodium oxybate inhibit brain dopamine release in humans? An exploratory neuroimaging study","Kish SJ, O'Leary G, Mamelak M, McCluskey T, Warsh JJ, Shapiro C, Bies R, Yu Y, Pollock B, Tong J, Boileau I.","Hum Psychopharmacol. 2021 Apr 26:e2791. doi: 10.1002/hup.2791. Online ahead of print.","Kish SJ","Hum Psychopharmacol","2021","2021/04/26","","","10.1002/hup.2791"
"33882349","Minimal specifications for non-human primate MRI: Challenges in standardizing and harmonizing data collection","Autio JA, Zhu Q, Li X, Glasser MF, Schwiedrzik CM, Fair DA, Zimmermann J, Yacoub E, Menon RS, Van Essen DC, Hayashi T, Russ B, Vanduffel W.","Neuroimage. 2021 Aug 1;236:118082. doi: 10.1016/j.neuroimage.2021.118082. Epub 2021 Apr 18.","Autio JA","Neuroimage","2021","2021/04/21","","","10.1016/j.neuroimage.2021.118082"
"33880672","Effect of ethanol and cocaine on [(11)C]MPC-6827 uptake in SH-SY5Y cells","Damuka N, Orr M, Czoty PW, Weiner JL, Martin TJ, Nader MA, Bansode AH, Liyana Pathirannahel BS, Mintz A, Macauley SL, Craft S, Solingapuram Sai KK.","Mol Biol Rep. 2021 Apr;48(4):3871-3876. doi: 10.1007/s11033-021-06336-7. Epub 2021 Apr 20.","Damuka N","Mol Biol Rep","2021","2021/04/21","PMC8172511","","10.1007/s11033-021-06336-7"
