PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34192812","Encoding of vestibular and optic flow cues to self-motion in the posterior superior temporal polysensory area","Zhao B, Zhang Y, Chen A.","J Physiol. 2021 Jun 30. doi: 10.1113/JP281913. Online ahead of print.","Zhao B","J Physiol","2021","2021/06/30","","","10.1113/JP281913"
"34174274","Translating biased agonists from molecules to medications: Serotonin 5-HT(1A) receptor functional selectivity for CNS disorders","Newman-Tancredi A, Depoortère RY, Kleven MS, Kołaczkowski M, Zimmer L.","Pharmacol Ther. 2021 Jun 24:107937. doi: 10.1016/j.pharmthera.2021.107937. Online ahead of print.","Newman-Tancredi A","Pharmacol Ther","2021","2021/06/26","","","10.1016/j.pharmthera.2021.107937"
"34118293","The squirrel monkey model in clinical neuroscience","Royo J, Forkel SJ, Pouget P, Thiebaut de Schotten M.","Neurosci Biobehav Rev. 2021 Sep;128:152-164. doi: 10.1016/j.neubiorev.2021.06.006. Epub 2021 Jun 10.","Royo J","Neurosci Biobehav Rev","2021","2021/06/12","","","10.1016/j.neubiorev.2021.06.006"
"34043075","Optic flow selectivity in the macaque parieto-occipital sulcus","Pitzalis S, Hadj-Bouziane F, Dal Bò G, Guedj C, Strappini F, Meunier M, Farnè A, Fattori P, Galletti C.","Brain Struct Funct. 2021 May 27. doi: 10.1007/s00429-021-02293-w. Online ahead of print.","Pitzalis S","Brain Struct Funct","2021","2021/05/27","","","10.1007/s00429-021-02293-w"
"33984391","The anterior cingulate cortex as a key locus of ketamine's antidepressant action","Alexander L, Jelen LA, Mehta MA, Young AH.","Neurosci Biobehav Rev. 2021 Aug;127:531-554. doi: 10.1016/j.neubiorev.2021.05.003. Epub 2021 May 11.","Alexander L","Neurosci Biobehav Rev","2021","2021/05/13","","","10.1016/j.neubiorev.2021.05.003"
"33853400","Pharmacological modulation of brain activation to non-noxious stimulation in a cynomolgus macaque model of peripheral nerve injury","Hama A, Yano M, Sotogawa W, Fujii R, Awaga Y, Natsume T, Hayashi I, Takamatsu H.","Mol Pain. 2021 Jan-Dec;17:17448069211008697. doi: 10.1177/17448069211008697.","Hama A","Mol Pain","2021","2021/04/15","PMC8053757","","10.1177/17448069211008697"
"33794360","The Subcortical Atlas of the Rhesus Macaque (SARM) for neuroimaging","Hartig R, Glen D, Jung B, Logothetis NK, Paxinos G, Garza-Villarreal EA, Messinger A, Evrard HC.","Neuroimage. 2021 Jul 15;235:117996. doi: 10.1016/j.neuroimage.2021.117996. Epub 2021 Mar 29.","Hartig R","Neuroimage","2021","2021/04/01","","","10.1016/j.neuroimage.2021.117996"
"33789138","A comprehensive macaque fMRI pipeline and hierarchical atlas","Jung B, Taylor PA, Seidlitz J, Sponheim C, Perkins P, Ungerleider LG, Glen D, Messinger A.","Neuroimage. 2021 Jul 15;235:117997. doi: 10.1016/j.neuroimage.2021.117997. Epub 2021 Mar 28.","Jung B","Neuroimage","2021","2021/03/31","","","10.1016/j.neuroimage.2021.117997"
"33789137","U-net model for brain extraction: Trained on humans for transfer to non-human primates","Wang X, Li XH, Cho JW, Russ BE, Rajamani N, Omelchenko A, Ai L, Korchmaros A, Sawiak S, Benn RA, Garcia-Saldivar P, Wang Z, Kalin NH, Schroeder CE, Craddock RC, Fox AS, Evans AC, Messinger A, Milham MP, Xu T.","Neuroimage. 2021 Jul 15;235:118001. doi: 10.1016/j.neuroimage.2021.118001. Epub 2021 Mar 28.","Wang X","Neuroimage","2021","2021/03/31","","","10.1016/j.neuroimage.2021.118001"
"33484849","The nonhuman primate neuroimaging and neuroanatomy project","Hayashi T, Hou Y, Glasser MF, Autio JA, Knoblauch K, Inoue-Murayama M, Coalson T, Yacoub E, Smith S, Kennedy H, Van Essen DC.","Neuroimage. 2021 Apr 1;229:117726. doi: 10.1016/j.neuroimage.2021.117726. Epub 2021 Jan 20.","Hayashi T","Neuroimage","2021","2021/01/23","PMC8079967","NIHMS1688396","10.1016/j.neuroimage.2021.117726"
"33482086","Common fronto-temporal effective connectivity in humans and monkeys","Rocchi F, Oya H, Balezeau F, Billig AJ, Kocsis Z, Jenison RL, Nourski KV, Kovach CK, Steinschneider M, Kikuchi Y, Rhone AE, Dlouhy BJ, Kawasaki H, Adolphs R, Greenlee JDW, Griffiths TD, Howard MA 3rd, Petkov CI.","Neuron. 2021 Mar 3;109(5):852-868.e8. doi: 10.1016/j.neuron.2020.12.026. Epub 2021 Jan 21.","Rocchi F","Neuron","2021","2021/01/22","PMC7927917","NIHMS1670759","10.1016/j.neuron.2020.12.026"
"33453211","Translational value of non-human primates in opioid research","Ding H, Ko MC.","Exp Neurol. 2021 Apr;338:113602. doi: 10.1016/j.expneurol.2021.113602. Epub 2021 Jan 14.","Ding H","Exp Neurol","2021","2021/01/16","PMC7904625","NIHMS1662835","10.1016/j.expneurol.2021.113602"
"33443160","Association of aerobic glycolysis with the structural connectome reveals a benefit-risk balancing mechanism in the human brain","Chen Y, Lin Q, Liao X, Zhou C, He Y.","Proc Natl Acad Sci U S A. 2021 Jan 5;118(1):e2013232118. doi: 10.1073/pnas.2013232118.","Chen Y","Proc Natl Acad Sci U S A","2021","2021/01/14","PMC7817189","","10.1073/pnas.2013232118"
"33359631","In-vivo diffusion MRI protocol optimization for the chimpanzee brain and examination of aging effects on the primate optic nerve at 3T","Zhang X, Li CX, Yan Y, Nair G, Rilling JK, Herndon JG, Preuss TM, Hu X, Li L.","Magn Reson Imaging. 2021 Apr;77:194-203. doi: 10.1016/j.mri.2020.12.015. Epub 2020 Dec 23.","Zhang X","Magn Reson Imaging","2021","2020/12/28","PMC7878399","NIHMS1657502","10.1016/j.mri.2020.12.015"
"33359348","PREEMACS: Pipeline for preprocessing and extraction of the macaque brain surface","Garcia-Saldivar P, Garimella A, Garza-Villarreal EA, Mendez FA, Concha L, Merchant H.","Neuroimage. 2021 Feb 15;227:117671. doi: 10.1016/j.neuroimage.2020.117671. Epub 2020 Dec 24.","Garcia-Saldivar P","Neuroimage","2021","2020/12/28","","","10.1016/j.neuroimage.2020.117671"
"33338616","DIKA-Nets: Domain-invariant knowledge-guided attention networks for brain skull stripping of early developing macaques","Zhong T, Zhao F, Pei Y, Ning Z, Liao L, Wu Z, Niu Y, Wang L, Shen D, Zhang Y, Li G.","Neuroimage. 2021 Feb 15;227:117649. doi: 10.1016/j.neuroimage.2020.117649. Epub 2020 Dec 15.","Zhong T","Neuroimage","2021","2020/12/18","","","10.1016/j.neuroimage.2020.117649"
"33347455","Differential effects of propofol and ketamine on critical brain dynamics","Varley TF, Sporns O, Puce A, Beggs J.","PLoS Comput Biol. 2020 Dec 21;16(12):e1008418. doi: 10.1371/journal.pcbi.1008418. eCollection 2020 Dec.","Varley TF","PLoS Comput Biol","2020","2020/12/21","PMC7785236","","10.1371/journal.pcbi.1008418"
"33307380","Socially relative reward valuation in the primate brain","Isoda M.","Curr Opin Neurobiol. 2021 Jun;68:15-22. doi: 10.1016/j.conb.2020.11.008. Epub 2020 Dec 8.","Isoda M","Curr Opin Neurobiol","2021","2020/12/11","","","10.1016/j.conb.2020.11.008"
"33137475","The macaque brain ONPRC18 template with combined gray and white matter labelmap for multimodal neuroimaging studies of Nonhuman Primates","Weiss AR, Liu Z, Wang X, Liguore WA, Kroenke CD, McBride JL.","Neuroimage. 2021 Jan 15;225:117517. doi: 10.1016/j.neuroimage.2020.117517. Epub 2020 Nov 1.","Weiss AR","Neuroimage","2021","2020/11/02","PMC7833476","NIHMS1659147","10.1016/j.neuroimage.2020.117517"
"33130051","Protective cranial implant caps for macaques","Perry BAL, Mason S, Nacef J, Waddle A, Hynes B, Bergmann C, Schmid MC, Petkov CI, Thiele A, Mitchell AS.","J Neurosci Methods. 2021 Jan 15;348:108992. doi: 10.1016/j.jneumeth.2020.108992. Epub 2020 Oct 29.","Perry BAL","J Neurosci Methods","2021","2020/11/01","PMC7840592","","10.1016/j.jneumeth.2020.108992"
"33108588","Fine-Grained Topography and Modularity of the Macaque Frontal Pole Cortex Revealed by Anatomical Connectivity Profiles","He B, Cao L, Xia X, Zhang B, Zhang D, You B, Fan L, Jiang T.","Neurosci Bull. 2020 Dec;36(12):1454-1473. doi: 10.1007/s12264-020-00589-1. Epub 2020 Oct 27.","He B","Neurosci Bull","2020","2020/10/27","PMC7719154","","10.1007/s12264-020-00589-1"
