PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34293407","A pilot behavioural and neuroimaging investigation on photothrombotic stroke models in rhesus monkeys","Zhang Z, Wang S, Du L, Xu L, Lin Y, Liu K, Zou Y, Bin Li, Ye Q, Mao Y, Chen W, Zhou G, Sun H, Huang H, Li R, Li G, Li L, Wang Q, Long Q, Huang H, Geng X, Liu Y, Liu C, Li B, Zhou Z, Li J, Wang J.","J Neurosci Methods. 2021 Jul 20;362:109291. doi: 10.1016/j.jneumeth.2021.109291. Online ahead of print.","Zhang Z","J Neurosci Methods","2021","2021/07/22","","","10.1016/j.jneumeth.2021.109291"
"34158619","A translational perspective on the anti-anhedonic effect of ketamine and its neural underpinnings","Pulcu E, Guinea C, Cowen PJ, Murphy SE, Harmer CJ.","Mol Psychiatry. 2021 Jun 22. doi: 10.1038/s41380-021-01183-1. Online ahead of print.","Pulcu E","Mol Psychiatry","2021","2021/06/23","","","10.1038/s41380-021-01183-1"
"34118293","The squirrel monkey model in clinical neuroscience","Royo J, Forkel SJ, Pouget P, Thiebaut de Schotten M.","Neurosci Biobehav Rev. 2021 Sep;128:152-164. doi: 10.1016/j.neubiorev.2021.06.006. Epub 2021 Jun 10.","Royo J","Neurosci Biobehav Rev","2021","2021/06/12","","","10.1016/j.neubiorev.2021.06.006"
"34108252","An MD2-perturbing peptide has therapeutic effects in rodent and rhesus monkey models of stroke","Fang Z, Wu D, Deng J, Yang Q, Zhang X, Chen J, Wang S, Hu S, Hou W, Ning S, Ding Y, Fan Z, Jiang Z, Kang J, Liu Y, Miao J, Ji X, Dong H, Xiong L.","Sci Transl Med. 2021 Jun 9;13(597):eabb6716. doi: 10.1126/scitranslmed.abb6716.","Fang Z","Sci Transl Med","2021","2021/06/10","","","10.1126/scitranslmed.abb6716"
"34060880","Bridging across functional models: The OFC as a value-making neural network","Pessiglione M, Daunizeau J.","Behav Neurosci. 2021 Apr;135(2):277-290. doi: 10.1037/bne0000464.","Pessiglione M","Behav Neurosci","2021","2021/06/01","","","10.1037/bne0000464"
"34043075","Optic flow selectivity in the macaque parieto-occipital sulcus","Pitzalis S, Hadj-Bouziane F, Dal Bò G, Guedj C, Strappini F, Meunier M, Farnè A, Fattori P, Galletti C.","Brain Struct Funct. 2021 May 27. doi: 10.1007/s00429-021-02293-w. Online ahead of print.","Pitzalis S","Brain Struct Funct","2021","2021/05/27","","","10.1007/s00429-021-02293-w"
"34001896","Longitudinal in vivo imaging of acute neuropathology in a monkey model of Ebola virus infection","Schreiber-Stainthorp W, Solomon J, Lee JH, Castro M, Shah S, Martinez-Orengo N, Reeder R, Maric D, Gross R, Qin J, Hagen KR, Johnson RF, Hammoud DA.","Nat Commun. 2021 May 17;12(1):2855. doi: 10.1038/s41467-021-23088-x.","Schreiber-Stainthorp W","Nat Commun","2021","2021/05/18","PMC8129091","","10.1038/s41467-021-23088-x"
"33822908","Brain Activity Fluctuations Propagate as Waves Traversing the Cortical Hierarchy","Gu Y, Sainburg LE, Kuang S, Han F, Williams JW, Liu Y, Zhang N, Zhang X, Leopold DA, Liu X.","Cereb Cortex. 2021 Jul 29;31(9):3986-4005. doi: 10.1093/cercor/bhab064.","Gu Y","Cereb Cortex","2021","2021/04/06","","","10.1093/cercor/bhab064"
"33818801","Aging-related Alzheimer's disease-like neuropathology and functional decline in captive vervet monkeys (Chlorocebus aethiops sabaeus)","Frye BM, Craft S, Latimer CS, Keene CD, Montine TJ, Register TC, Orr ME, Kavanagh K, Macauley SL, Shively CA.","Am J Primatol. 2021 Apr 5:e23260. doi: 10.1002/ajp.23260. Online ahead of print.","Frye BM","Am J Primatol","2021","2021/04/05","","","10.1002/ajp.23260"
"33794360","The Subcortical Atlas of the Rhesus Macaque (SARM) for neuroimaging","Hartig R, Glen D, Jung B, Logothetis NK, Paxinos G, Garza-Villarreal EA, Messinger A, Evrard HC.","Neuroimage. 2021 Jul 15;235:117996. doi: 10.1016/j.neuroimage.2021.117996. Epub 2021 Mar 29.","Hartig R","Neuroimage","2021","2021/04/01","","","10.1016/j.neuroimage.2021.117996"
