PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34375416","Using Tertiary Sulci to Map the ""Cognitive Globe"" of Prefrontal Cortex","Miller JA, D'Esposito M, Weiner KS.","J Cogn Neurosci. 2021 Aug 1;33(9):1698-1715. doi: 10.1162/jocn_a_01696.","Miller JA","J Cogn Neurosci","2021","2021/08/10","","","10.1162/jocn_a_01696"
"34293407","A pilot behavioural and neuroimaging investigation on photothrombotic stroke models in rhesus monkeys","Zhang Z, Wang S, Du L, Xu L, Lin Y, Liu K, Zou Y, Bin Li, Ye Q, Mao Y, Chen W, Zhou G, Sun H, Huang H, Li R, Li G, Li L, Wang Q, Long Q, Huang H, Geng X, Liu Y, Liu C, Li B, Zhou Z, Li J, Wang J.","J Neurosci Methods. 2021 Jul 20;362:109291. doi: 10.1016/j.jneumeth.2021.109291. Online ahead of print.","Zhang Z","J Neurosci Methods","2021","2021/07/22","","","10.1016/j.jneumeth.2021.109291"
"34273134","Structure, function and connectivity fingerprints of the frontal eye field versus the inferior frontal junction: A comprehensive comparison","Bedini M, Baldauf D.","Eur J Neurosci. 2021 Jul 17. doi: 10.1111/ejn.15393. Online ahead of print.","Bedini M","Eur J Neurosci","2021","2021/07/17","","","10.1111/ejn.15393"
"34234288","Interactions between ventrolateral prefrontal and anterior cingulate cortex during learning and behavioural change","Monosov IE, Rushworth MFS.","Neuropsychopharmacology. 2021 Jul 7. doi: 10.1038/s41386-021-01079-2. Online ahead of print.","Monosov IE","Neuropsychopharmacology","2021","2021/07/08","","","10.1038/s41386-021-01079-2"
"34222873","The role of the medial prefrontal cortex in cognition, ageing and dementia","Jobson DD, Hase Y, Clarkson AN, Kalaria RN.","Brain Commun. 2021 Jun 11;3(3):fcab125. doi: 10.1093/braincomms/fcab125. eCollection 2021 Jul.","Jobson DD","Brain Commun","2021","2021/07/05","PMC8249104","","10.1093/braincomms/fcab125"
"34166774","The One-Stop Gyrification Station - Challenges and New Technologies","Hickmott RA, Bosakhar A, Quezada S, Barresi M, Walker DW, Ryan AL, Quigley A, Tolcos M.","Prog Neurobiol. 2021 Jun 21:102111. doi: 10.1016/j.pneurobio.2021.102111. Online ahead of print.","Hickmott RA","Prog Neurobiol","2021","2021/06/24","","","10.1016/j.pneurobio.2021.102111"
"34118293","The squirrel monkey model in clinical neuroscience","Royo J, Forkel SJ, Pouget P, Thiebaut de Schotten M.","Neurosci Biobehav Rev. 2021 Sep;128:152-164. doi: 10.1016/j.neubiorev.2021.06.006. Epub 2021 Jun 10.","Royo J","Neurosci Biobehav Rev","2021","2021/06/12","","","10.1016/j.neubiorev.2021.06.006"
"34108252","An MD2-perturbing peptide has therapeutic effects in rodent and rhesus monkey models of stroke","Fang Z, Wu D, Deng J, Yang Q, Zhang X, Chen J, Wang S, Hu S, Hou W, Ning S, Ding Y, Fan Z, Jiang Z, Kang J, Liu Y, Miao J, Ji X, Dong H, Xiong L.","Sci Transl Med. 2021 Jun 9;13(597):eabb6716. doi: 10.1126/scitranslmed.abb6716.","Fang Z","Sci Transl Med","2021","2021/06/10","","","10.1126/scitranslmed.abb6716"
"33923703","Structural Changes on MRI Demonstrate Specific Cerebellar Involvement in SLE Patients-A VBM Study","Mårtensson J, Rumetshofer T, Nystedt J, Lätt J, Nilsson P, Bengtsson A, Jönsen A, Sundgren PC.","Brain Sci. 2021 Apr 16;11(4):510. doi: 10.3390/brainsci11040510.","Mårtensson J","Brain Sci","2021","2021/04/30","PMC8072619","","10.3390/brainsci11040510"
"33899252","Does sodium oxybate inhibit brain dopamine release in humans? An exploratory neuroimaging study","Kish SJ, O'Leary G, Mamelak M, McCluskey T, Warsh JJ, Shapiro C, Bies R, Yu Y, Pollock B, Tong J, Boileau I.","Hum Psychopharmacol. 2021 Apr 26:e2791. doi: 10.1002/hup.2791. Online ahead of print.","Kish SJ","Hum Psychopharmacol","2021","2021/04/26","","","10.1002/hup.2791"
