PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34271158","Functional networks in non-human primate spinal cord and the effects of injury","Sengupta A, Mishra A, Wang F, Li M, Yang PF, Chen LM, Gore JC.","Neuroimage. 2021 Jul 14;240:118391. doi: 10.1016/j.neuroimage.2021.118391. Online ahead of print.","Sengupta A","Neuroimage","2021","2021/07/16","","","10.1016/j.neuroimage.2021.118391"
"33967711","Functional Connectivity of the Human Paraventricular Thalamic Nucleus: Insights From High Field Functional MRI","Kark SM, Birnie MT, Baram TZ, Yassa MA.","Front Integr Neurosci. 2021 Apr 21;15:662293. doi: 10.3389/fnint.2021.662293. eCollection 2021.","Kark SM","Front Integr Neurosci","2021","2021/05/10","PMC8096909","","10.3389/fnint.2021.662293"
"33819611","Functional parcellation of human and macaque striatum reveals human-specific connectivity in the dorsal caudate","Liu X, Eickhoff SB, Caspers S, Wu J, Genon S, Hoffstaedter F, Mars RB, Sommer IE, Eickhoff CR, Chen J, Jardri R, Reetz K, Dogan I, Aleman A, Kogler L, Gruber O, Caspers J, Mathys C, Patil KR.","Neuroimage. 2021 Jul 15;235:118006. doi: 10.1016/j.neuroimage.2021.118006. Epub 2021 Apr 2.","Liu X","Neuroimage","2021","2021/04/05","PMC8214073","","10.1016/j.neuroimage.2021.118006"
"33408615","Dynamic Interhemispheric Desynchronization in Marmosets and Humans With Disorders of the Corpus Callosum","Szczupak D, Yen CC, Liu C, Tian X, Lent R, Tovar-Moll F, Silva AC; IRC5 Consortium.","Front Neural Circuits. 2020 Dec 21;14:612595. doi: 10.3389/fncir.2020.612595. eCollection 2020.","Szczupak D","Front Neural Circuits","2020","2021/01/07","PMC7779638","","10.3389/fncir.2020.612595"
"32659353","Functional connectivity fingerprints of the human pulvinar: Decoding its role in cognition","Guedj C, Vuilleumier P.","Neuroimage. 2020 Nov 1;221:117162. doi: 10.1016/j.neuroimage.2020.117162. Epub 2020 Jul 11.","Guedj C","Neuroimage","2020","2020/07/14","","","10.1016/j.neuroimage.2020.117162"
"32038217","Animal Functional Magnetic Resonance Imaging: Trends and Path Toward Standardization","Mandino F, Cerri DH, Garin CM, Straathof M, van Tilborg GAF, Chakravarty MM, Dhenain M, Dijkhuizen RM, Gozzi A, Hess A, Keilholz SD, Lerch JP, Shih YI, Grandjean J.","Front Neuroinform. 2020 Jan 22;13:78. doi: 10.3389/fninf.2019.00078. eCollection 2019.","Mandino F","Front Neuroinform","2020","2020/02/11","PMC6987455","","10.3389/fninf.2019.00078"
"31589003","Meta-analytic and functional connectivity evidence from functional magnetic resonance imaging for an anterior to posterior gradient of function along the hippocampal axis","Grady CL.","Hippocampus. 2020 May;30(5):456-471. doi: 10.1002/hipo.23164. Epub 2019 Oct 7.","Grady CL","Hippocampus","2020","2019/10/08","","","10.1002/hipo.23164"
"28539914","Functional Connectivity Mapping in the Animal Model: Principles and Applications of Resting-State fMRI","Gorges M, Roselli F, Müller HP, Ludolph AC, Rasche V, Kassubek J.","Front Neurol. 2017 May 10;8:200. doi: 10.3389/fneur.2017.00200. eCollection 2017.","Gorges M","Front Neurol","2017","2017/05/26","PMC5423907","","10.3389/fneur.2017.00200"
"28161319","Biophysical and neural basis of resting state functional connectivity: Evidence from non-human primates","Chen LM, Yang PF, Wang F, Mishra A, Shi Z, Wu R, Wu TL, Wilson GH 3rd, Ding Z, Gore JC.","Magn Reson Imaging. 2017 Jun;39:71-81. doi: 10.1016/j.mri.2017.01.020. Epub 2017 Feb 2.","Chen LM","Magn Reson Imaging","2017","2017/02/06","PMC5410395","NIHMS852391","10.1016/j.mri.2017.01.020"
"28040671","Decisional impulsivity and the associative-limbic subthalamic nucleus in obsessive-compulsive disorder: stimulation and connectivity","Voon V, Droux F, Morris L, Chabardes S, Bougerol T, David O, Krack P, Polosan M.","Brain. 2017 Feb;140(2):442-456. doi: 10.1093/brain/aww309. Epub 2016 Dec 31.","Voon V","Brain","2017","2017/01/02","PMC5278307","","10.1093/brain/aww309"
"28027960","Investigating resting-state functional connectivity in the cervical spinal cord at 3T","Eippert F, Kong Y, Winkler AM, Andersson JL, Finsterbusch J, Büchel C, Brooks JCW, Tracey I.","Neuroimage. 2017 Feb 15;147:589-601. doi: 10.1016/j.neuroimage.2016.12.072. Epub 2016 Dec 24.","Eippert F","Neuroimage","2017","2016/12/29","PMC5315056","","10.1016/j.neuroimage.2016.12.072"
