PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32936342","Reproducing macaque lateral grasping and oculomotor networks using resting state functional connectivity and diffusion tractography","Howells H, Simone L, Borra E, Fornia L, Cerri G, Luppino G.","Brain Struct Funct. 2020 Nov;225(8):2533-2551. doi: 10.1007/s00429-020-02142-2. Epub 2020 Sep 16.","Howells H","Brain Struct Funct","2020","2020/09/16","PMC7544728","","10.1007/s00429-020-02142-2"
"32898683","Ultra-high field (10.5 T) resting state fMRI in the macaque","Yacoub E, Grier MD, Auerbach EJ, Lagore RL, Harel N, Adriany G, Zilverstand A, Hayden BY, Heilbronner SR, Uğurbil K, Zimmermann J.","Neuroimage. 2020 Dec;223:117349. doi: 10.1016/j.neuroimage.2020.117349. Epub 2020 Sep 6.","Yacoub E","Neuroimage","2020","2020/09/08","PMC7745777","NIHMS1651795","10.1016/j.neuroimage.2020.117349"
"32818615","Evolutional and developmental anatomical architecture of the left inferior frontal gyrus","Wang J, Yang Y, Zhao X, Zuo Z, Tan LH.","Neuroimage. 2020 Nov 15;222:117268. doi: 10.1016/j.neuroimage.2020.117268. Epub 2020 Aug 18.","Wang J","Neuroimage","2020","2020/08/21","","","10.1016/j.neuroimage.2020.117268"
"30668705","Biological Characteristics of Connection-Wise Resting-State Functional Connectivity Strength","Pijnenburg R, Scholtens LH, Mantini D, Vanduffel W, Barrett LF, van den Heuvel MP.","Cereb Cortex. 2019 Dec 17;29(11):4646-4653. doi: 10.1093/cercor/bhy342.","Pijnenburg R","Cereb Cortex","2019","2019/01/23","PMC7049309","","10.1093/cercor/bhy342"
"30099461","Comparative Primate Connectomics","Rilling JK, van den Heuvel MP.","Brain Behav Evol. 2018;91(3):170-179. doi: 10.1159/000488886. Epub 2018 Aug 10.","Rilling JK","Brain Behav Evol","2018","2018/08/13","","","10.1159/000488886"
"29437980","Temporal-prefrontal cortical network for discrimination of valuable objects in long-term memory","Ghazizadeh A, Griggs W, Leopold DA, Hikosaka O.","Proc Natl Acad Sci U S A. 2018 Feb 27;115(9):E2135-E2144. doi: 10.1073/pnas.1707695115. Epub 2018 Feb 1.","Ghazizadeh A","Proc Natl Acad Sci U S A","2018","2018/02/14","PMC5834664","","10.1073/pnas.1707695115"
"27917958","Functional complexity emerging from anatomical constraints in the brain: the significance of network modularity and rich-clubs","Zamora-López G, Chen Y, Deco G, Kringelbach ML, Zhou C.","Sci Rep. 2016 Dec 5;6:38424. doi: 10.1038/srep38424.","Zamora-López G","Sci Rep","2016","2016/12/06","PMC5137167","","10.1038/srep38424"
"24741045","Bridging the gap between the human and macaque connectome: a quantitative comparison of global interspecies structure-function relationships and network topology","Miranda-Dominguez O, Mills BD, Grayson D, Woodall A, Grant KA, Kroenke CD, Fair DA.","J Neurosci. 2014 Apr 16;34(16):5552-63. doi: 10.1523/JNEUROSCI.4229-13.2014.","Miranda-Dominguez O","J Neurosci","2014","2014/04/18","PMC3988411","","10.1523/JNEUROSCI.4229-13.2014"
"22438275","Resting-state networks show dynamic functional connectivity in awake humans and anesthetized macaques","Hutchison RM, Womelsdorf T, Gati JS, Everling S, Menon RS.","Hum Brain Mapp. 2013 Sep;34(9):2154-77. doi: 10.1002/hbm.22058. Epub 2012 Mar 22.","Hutchison RM","Hum Brain Mapp","2013","2012/03/23","PMC6870538","","10.1002/hbm.22058"
"21411650","Diffusion-weighted imaging tractography-based parcellation of the human parietal cortex and comparison with human and macaque resting-state functional connectivity","Mars RB, Jbabdi S, Sallet J, O'Reilly JX, Croxson PL, Olivier E, Noonan MP, Bergmann C, Mitchell AS, Baxter MG, Behrens TE, Johansen-Berg H, Tomassini V, Miller KL, Rushworth MF.","J Neurosci. 2011 Mar 16;31(11):4087-100. doi: 10.1523/JNEUROSCI.5102-10.2011.","Mars RB","J Neurosci","2011","2011/03/18","PMC3091022","UKMS34710","10.1523/JNEUROSCI.5102-10.2011"
