PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34271158","Functional networks in non-human primate spinal cord and the effects of injury","Sengupta A, Mishra A, Wang F, Li M, Yang PF, Chen LM, Gore JC.","Neuroimage. 2021 Jul 14;240:118391. doi: 10.1016/j.neuroimage.2021.118391. Online ahead of print.","Sengupta A","Neuroimage","2021","2021/07/16","","","10.1016/j.neuroimage.2021.118391"
"33827936","Distinct Functional and Structural Connectivity of the Human Hand-Knob Supported by Intraoperative Findings","Simone L, Viganò L, Fornia L, Howells H, Leonetti A, Puglisi G, Bellacicca A, Bello L, Cerri G.","J Neurosci. 2021 May 12;41(19):4223-4233. doi: 10.1523/JNEUROSCI.1574-20.2021. Epub 2021 Apr 7.","Simone L","J Neurosci","2021","2021/04/08","PMC8143196","","10.1523/JNEUROSCI.1574-20.2021"
"33385552","Resting-State functional networks of different topographic representations in the somatosensory cortex of macaque monkeys and humans","Thomas J, Sharma D, Mohanta S, Jain N.","Neuroimage. 2021 Mar;228:117694. doi: 10.1016/j.neuroimage.2020.117694. Epub 2020 Dec 30.","Thomas J","Neuroimage","2021","2021/01/01","","","10.1016/j.neuroimage.2020.117694"
"33268770","Effects of long-term cocaine self-administration on brain resting-state functional connectivity in nonhuman primates","Kohut SJ, Mintzopoulos D, Kangas BD, Shields H, Brown K, Gillis TE, Rohan ML, Bergman J, Kaufman MJ.","Transl Psychiatry. 2020 Dec 2;10(1):420. doi: 10.1038/s41398-020-01101-z.","Kohut SJ","Transl Psychiatry","2020","2020/12/03","PMC7710734","","10.1038/s41398-020-01101-z"
"32539526","Diagnostic Classification for Human Autism and Obsessive-Compulsive Disorder Based on Machine Learning From a Primate Genetic Model","Zhan Y, Wei J, Liang J, Xu X, He R, Robbins TW, Wang Z.","Am J Psychiatry. 2021 Jan 1;178(1):65-76. doi: 10.1176/appi.ajp.2020.19101091. Epub 2020 Jun 16.","Zhan Y","Am J Psychiatry","2021","2020/06/17","","","10.1176/appi.ajp.2020.19101091"
"30530859","Changes in Endogenous Dopamine Induced by Methylphenidate Predict Functional Connectivity in Nonhuman Primates","Birn RM, Converse AK, Rajala AZ, Alexander AL, Block WF, McMillan AB, Christian BT, Filla CN, Murali D, Hurley SA, Jenison RL, Populin LC.","J Neurosci. 2019 Feb 20;39(8):1436-1444. doi: 10.1523/JNEUROSCI.2513-18.2018. Epub 2018 Dec 10.","Birn RM","J Neurosci","2019","2018/12/12","PMC6381257","","10.1523/JNEUROSCI.2513-18.2018"
"30251760","Functional connectivity with cortical depth assessed by resting state fMRI of subregions of S1 in squirrel monkeys","Mishra A, Majumdar S, Wang F, Wilson GH 3rd, Gore JC, Chen LM.","Hum Brain Mapp. 2019 Jan;40(1):329-339. doi: 10.1002/hbm.24375. Epub 2018 Sep 25.","Mishra A","Hum Brain Mapp","2019","2018/09/26","PMC6289644","NIHMS992431","10.1002/hbm.24375"
"29567621","Diet matters: Glucocorticoid-related neuroadaptations associated with calorie intake in female rhesus monkeys","Godfrey JR, Diaz MP, Pincus M, Kovacs-Balint Z, Feczko E, Earl E, Miranda-Dominguez O, Fair D, Sanchez MM, Wilson ME, Michopoulos V.","Psychoneuroendocrinology. 2018 May;91:169-178. doi: 10.1016/j.psyneuen.2018.03.008. Epub 2018 Mar 14.","Godfrey JR","Psychoneuroendocrinology","2018","2018/03/24","PMC5899678","NIHMS952946","10.1016/j.psyneuen.2018.03.008"
"29437980","Temporal-prefrontal cortical network for discrimination of valuable objects in long-term memory","Ghazizadeh A, Griggs W, Leopold DA, Hikosaka O.","Proc Natl Acad Sci U S A. 2018 Feb 27;115(9):E2135-E2144. doi: 10.1073/pnas.1707695115. Epub 2018 Feb 1.","Ghazizadeh A","Proc Natl Acad Sci U S A","2018","2018/02/14","PMC5834664","","10.1073/pnas.1707695115"
"27646127","Convergence of prefrontal and parietal anatomical projections in a connectional hub in the striatum","Choi EY, Tanimura Y, Vage PR, Yates EH, Haber SN.","Neuroimage. 2017 Feb 1;146:821-832. doi: 10.1016/j.neuroimage.2016.09.037. Epub 2016 Sep 17.","Choi EY","Neuroimage","2017","2016/09/21","PMC5841917","NIHMS865144","10.1016/j.neuroimage.2016.09.037"
