PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34271158","Functional networks in non-human primate spinal cord and the effects of injury","Sengupta A, Mishra A, Wang F, Li M, Yang PF, Chen LM, Gore JC.","Neuroimage. 2021 Jul 14;240:118391. doi: 10.1016/j.neuroimage.2021.118391. Online ahead of print.","Sengupta A","Neuroimage","2021","2021/07/16","","","10.1016/j.neuroimage.2021.118391"
"33967711","Functional Connectivity of the Human Paraventricular Thalamic Nucleus: Insights From High Field Functional MRI","Kark SM, Birnie MT, Baram TZ, Yassa MA.","Front Integr Neurosci. 2021 Apr 21;15:662293. doi: 10.3389/fnint.2021.662293. eCollection 2021.","Kark SM","Front Integr Neurosci","2021","2021/05/10","PMC8096909","","10.3389/fnint.2021.662293"
"33819611","Functional parcellation of human and macaque striatum reveals human-specific connectivity in the dorsal caudate","Liu X, Eickhoff SB, Caspers S, Wu J, Genon S, Hoffstaedter F, Mars RB, Sommer IE, Eickhoff CR, Chen J, Jardri R, Reetz K, Dogan I, Aleman A, Kogler L, Gruber O, Caspers J, Mathys C, Patil KR.","Neuroimage. 2021 Jul 15;235:118006. doi: 10.1016/j.neuroimage.2021.118006. Epub 2021 Apr 2.","Liu X","Neuroimage","2021","2021/04/05","PMC8214073","","10.1016/j.neuroimage.2021.118006"
"33248260","Resting state functional atlas and cerebral networks in mouse lemur primates at 11.7 Tesla","Garin CM, Nadkarni NA, Landeau B, Chételat G, Picq JL, Bougacha S, Dhenain M.","Neuroimage. 2021 Feb 1;226:117589. doi: 10.1016/j.neuroimage.2020.117589. Epub 2020 Nov 26.","Garin CM","Neuroimage","2021","2020/11/28","","","10.1016/j.neuroimage.2020.117589"
"32556184","Altered Resting-State Functional Connectivity Between Awake and Isoflurane Anesthetized Marmosets","Hori Y, Schaeffer DJ, Gilbert KM, Hayrynen LK, Cléry JC, Gati JS, Menon RS, Everling S.","Cereb Cortex. 2020 Oct 1;30(11):5943-5959. doi: 10.1093/cercor/bhaa168.","Hori Y","Cereb Cortex","2020","2020/06/20","PMC7899065","","10.1093/cercor/bhaa168"
"32539526","Diagnostic Classification for Human Autism and Obsessive-Compulsive Disorder Based on Machine Learning From a Primate Genetic Model","Zhan Y, Wei J, Liang J, Xu X, He R, Robbins TW, Wang Z.","Am J Psychiatry. 2021 Jan 1;178(1):65-76. doi: 10.1176/appi.ajp.2020.19101091. Epub 2020 Jun 16.","Zhan Y","Am J Psychiatry","2021","2020/06/17","","","10.1176/appi.ajp.2020.19101091"
"32038217","Animal Functional Magnetic Resonance Imaging: Trends and Path Toward Standardization","Mandino F, Cerri DH, Garin CM, Straathof M, van Tilborg GAF, Chakravarty MM, Dhenain M, Dijkhuizen RM, Gozzi A, Hess A, Keilholz SD, Lerch JP, Shih YI, Grandjean J.","Front Neuroinform. 2020 Jan 22;13:78. doi: 10.3389/fninf.2019.00078. eCollection 2019.","Mandino F","Front Neuroinform","2020","2020/02/11","PMC6987455","","10.3389/fninf.2019.00078"
"30849407","Posterior parietal influences on visual network specialization during development: An fMRI study of functional connectivity in children ages 9 to 12","O'Rawe JF, Huang AS, Klein DN, Leung HC.","Neuropsychologia. 2019 Apr;127:158-170. doi: 10.1016/j.neuropsychologia.2019.03.001. Epub 2019 Mar 5.","O'Rawe JF","Neuropsychologia","2019","2019/03/09","PMC6440865","NIHMS1523483","10.1016/j.neuropsychologia.2019.03.001"
"30547311","Gradients of connectivity distance in the cerebral cortex of the macaque monkey","Oligschläger S, Xu T, Baczkowski BM, Falkiewicz M, Falchier A, Linn G, Margulies DS.","Brain Struct Funct. 2019 Mar;224(2):925-935. doi: 10.1007/s00429-018-1811-1. Epub 2018 Dec 13.","Oligschläger S","Brain Struct Funct","2019","2018/12/15","PMC6420469","","10.1007/s00429-018-1811-1"
"30099461","Comparative Primate Connectomics","Rilling JK, van den Heuvel MP.","Brain Behav Evol. 2018;91(3):170-179. doi: 10.1159/000488886. Epub 2018 Aug 10.","Rilling JK","Brain Behav Evol","2018","2018/08/13","","","10.1159/000488886"
"27091582","Correlated inter-regional variations in low frequency local field potentials and resting state BOLD signals within S1 cortex of monkeys","Wilson GH 3rd, Yang PF, Gore JC, Chen LM.","Hum Brain Mapp. 2016 Aug;37(8):2755-66. doi: 10.1002/hbm.23207. Epub 2016 Apr 19.","Wilson GH 3rd","Hum Brain Mapp","2016","2016/04/20","PMC4945372","NIHMS773165","10.1002/hbm.23207"
