PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34271158","Functional networks in non-human primate spinal cord and the effects of injury","Sengupta A, Mishra A, Wang F, Li M, Yang PF, Chen LM, Gore JC.","Neuroimage. 2021 Jul 14;240:118391. doi: 10.1016/j.neuroimage.2021.118391. Online ahead of print.","Sengupta A","Neuroimage","2021","2021/07/16","","","10.1016/j.neuroimage.2021.118391"
"33827936","Distinct Functional and Structural Connectivity of the Human Hand-Knob Supported by Intraoperative Findings","Simone L, Viganò L, Fornia L, Howells H, Leonetti A, Puglisi G, Bellacicca A, Bello L, Cerri G.","J Neurosci. 2021 May 12;41(19):4223-4233. doi: 10.1523/JNEUROSCI.1574-20.2021. Epub 2021 Apr 7.","Simone L","J Neurosci","2021","2021/04/08","PMC8143196","","10.1523/JNEUROSCI.1574-20.2021"
"33549746","Muting, not fragmentation, of functional brain networks under general anesthesia","Areshenkoff CN, Nashed JY, Hutchison RM, Hutchison M, Levy R, Cook DJ, Menon RS, Everling S, Gallivan JP.","Neuroimage. 2021 May 1;231:117830. doi: 10.1016/j.neuroimage.2021.117830. Epub 2021 Feb 4.","Areshenkoff CN","Neuroimage","2021","2021/02/07","","","10.1016/j.neuroimage.2021.117830"
"33408615","Dynamic Interhemispheric Desynchronization in Marmosets and Humans With Disorders of the Corpus Callosum","Szczupak D, Yen CC, Liu C, Tian X, Lent R, Tovar-Moll F, Silva AC; IRC5 Consortium.","Front Neural Circuits. 2020 Dec 21;14:612595. doi: 10.3389/fncir.2020.612595. eCollection 2020.","Szczupak D","Front Neural Circuits","2020","2021/01/07","PMC7779638","","10.3389/fncir.2020.612595"
"33268770","Effects of long-term cocaine self-administration on brain resting-state functional connectivity in nonhuman primates","Kohut SJ, Mintzopoulos D, Kangas BD, Shields H, Brown K, Gillis TE, Rohan ML, Bergman J, Kaufman MJ.","Transl Psychiatry. 2020 Dec 2;10(1):420. doi: 10.1038/s41398-020-01101-z.","Kohut SJ","Transl Psychiatry","2020","2020/12/03","PMC7710734","","10.1038/s41398-020-01101-z"
"33248260","Resting state functional atlas and cerebral networks in mouse lemur primates at 11.7 Tesla","Garin CM, Nadkarni NA, Landeau B, Chételat G, Picq JL, Bougacha S, Dhenain M.","Neuroimage. 2021 Feb 1;226:117589. doi: 10.1016/j.neuroimage.2020.117589. Epub 2020 Nov 26.","Garin CM","Neuroimage","2021","2020/11/28","","","10.1016/j.neuroimage.2020.117589"
"33024242","Robustness of sex-differences in functional connectivity over time in middle-aged marmosets","Nephew BC, Febo M, Cali R, Workman KP, Payne L, Moore CM, King JA, Lacreuse A.","Sci Rep. 2020 Oct 6;10(1):16647. doi: 10.1038/s41598-020-73811-9.","Nephew BC","Sci Rep","2020","2020/10/07","PMC7538565","","10.1038/s41598-020-73811-9"
"32659353","Functional connectivity fingerprints of the human pulvinar: Decoding its role in cognition","Guedj C, Vuilleumier P.","Neuroimage. 2020 Nov 1;221:117162. doi: 10.1016/j.neuroimage.2020.117162. Epub 2020 Jul 11.","Guedj C","Neuroimage","2020","2020/07/14","","","10.1016/j.neuroimage.2020.117162"
"32539526","Diagnostic Classification for Human Autism and Obsessive-Compulsive Disorder Based on Machine Learning From a Primate Genetic Model","Zhan Y, Wei J, Liang J, Xu X, He R, Robbins TW, Wang Z.","Am J Psychiatry. 2021 Jan 1;178(1):65-76. doi: 10.1176/appi.ajp.2020.19101091. Epub 2020 Jun 16.","Zhan Y","Am J Psychiatry","2021","2020/06/17","","","10.1176/appi.ajp.2020.19101091"
"31262949","Sex Differences in Cognitive Flexibility and Resting Brain Networks in Middle-Aged Marmosets","LaClair M, Febo M, Nephew B, Gervais NJ, Poirier G, Workman K, Chumachenko S, Payne L, Moore MC, King JA, Lacreuse A.","eNeuro. 2019 Jul 25;6(4):ENEURO.0154-19.2019. doi: 10.1523/ENEURO.0154-19.2019. Print 2019 Jul/Aug.","LaClair M","eNeuro","2019","2019/07/03","PMC6658914","","10.1523/ENEURO.0154-19.2019"
